index,subject ,Q,A
11,采购经理,采购经理调查中出厂价格指标升降的界定范围是什么?,采购经理调查中出厂价格指标升降的界定范围由填报人根据企业具体情况和经验进行判断。在调查中，如果填报人确实难以判断，可以参照以下界定范围要求进行填报：一般情况下，价格变化幅度在 ±2% 以内可以视为"变化不大"。
12,采购经理,采购经理调查中当企业价格要素较多时月报中的价格指标如何填报?,在采购经理调查中，当企业涉及的价格要素较多时，填报人应根据企业的实际情况与经验，选择所占比重最大的几种主要要素，使用加权平均的计算方法进行推算。需要注意的是，填报时只需进行大致估算，不要求非常精确的数据计算。例如，制造业企业可以选择主要原材料、零部件或能源的价格作为主要填报对象，而非列出所有价格要素。
13,采购经理,采购经理调查中当制造业企业价格要素较多时月报中的出厂价格指标如何填报?,在采购经理调查中，出厂价格指企业报告期内生产的符合产品质量要求的主要产品出厂价格的加权平均水平。当制造业企业的价格要素较多时，月报中的出厂价格指标填报需要综合考虑企业的实际经营情况。根据填报人的经验，应选择产量比重较大或通常认可的主要产品进行填报。这些产品应具有代表性，能够反映企业的生产和价格变化情况。由此计算主要产品出厂价格的加权平均水平，确保数据的准确性和代表性。填报时只需进行大致估算，不要求非常精确的数据计算。
14,采购经理,采购经理调查中非制造业报表中“存货”概念如何理解?,"在采购经理调查（PMI）中，非制造业报表中的“存货”概念是指企业在日常活动中持有以备出售的产成品或商品、处在生产过程中的在产品、在生产过程或提供劳务过程中耗用的材料或物料等。以下是具体解释和分类：
1. 存货的定义与范围, 存货通常包括以下内容。原材料：用于生产或提供服务的材料和物料。在产品：正处于生产过程中的产品。半成品：尚未完成最终加工的产品。产成品：已完成生产并检验合格，但尚未售出的产品。商品：尚未销售的商品或服务相关库存。周转材料：如低值易耗品等。需要注意的是，存货具有实物形态，不属于无形资产，且其持有目的是为了出售或消耗。例如，房地产开发企业购置的土地和尚未售出的商品房也计入存货。
2. 非制造业不同行业的存货表现, 在非制造业中，存货的具体表现因行业而异。非制造业中的建筑业、批发零售业、住宿业、餐饮业、房地产开发经营业、租赁业的“存货”指标，没有特殊情况均需填报；其他行业可根据企业经营的具体情况填报，如不好界定的行业可填报“没有”选项。
建筑业：为建筑工程所储备的各种原材料、物料、低值易耗品等；批发零售业：尚未销售的商品数量（若难以取得，可参照商品金额）；住宿业：客房空置率；餐饮业：食材、酒水等；房地产开发经营业：未开发土地面积、在建项目面积（不含已预售的期房面积）、已竣但尚未售出的商品房面积；租赁业：尚未出租的机械设备、图书、音像等产品的数量。文化、体育和娱乐业：待售版权、播放权、门票、体育用品、衍生产品、食品、酒水饮料等。
注：金融业“存货”和“供应商配送时间”指标填“没有”选项。

非制造业报表中的“存货”概念涵盖了企业经营活动中的多种实物形态库存，具体表现形式因行业特点而异。填报时需结合企业实际情况，参照会计数据或行业特点进行判断和估算。"
15,采购经理,采购经理调查中价格波动多少以内算变化不大？,在采购经理调查中，价格波动的界定范围是根据填报人的经验和企业具体情况来判断的。一般情况下，价格变化幅度在 ±2%以内 可以视为“变化不大”。对于其他指标（如生产量、业务总量等），变化幅度在 ±5%以内 可以视为“基本持平”或“变化不大”。这种界定范围是为了确保数据填报的科学性和准确性，同时考虑到企业的实际运营情况和市场波动的复杂性。填报人可以根据企业的具体业务情况和经验，对当月剩余时间的指标变化进行合理估算
16,采购经理,采购经理调查中母公司是上市公司子公司是否作为上市公司填报?,"在采购经理调查中，母公司的子公司是否作为上市公司填报需要根据子公司的具体情况来判断。以下是相关规则和依据：
1. 上市公司的定义, 根据采购经理调查的相关制度，上市公司是指所发行的股票经国务院授权的中国证监会批准，在境内外证券交易所上市买卖其有价证券的股份有限公司。这意味着，只有子公司本身在证券交易所上市的情况下，才符合上市公司的定义。
2. 子公司的上市身份判断, 子公司是否作为上市公司填报，取决于其是否独立上市。如果子公司的股票未在证券交易所上市交易，即使其母公司是上市公司，子公司也不算作上市公司。例如，全资子公司的上市身份需要独立判断，不能仅因其母公司的上市地位而默认为上市公司。
3. 填报要求, 在填报采购经理调查问卷时，应依据子公司的实际上市情况，而不是母公司的上市身份。如果子公司未独立上市，应按照非上市公司的规则填报相关指标。
4. 特殊情况的处理,如果子公司属于上市公司的关联方（如全资子公司或控股子公司），但未独立上市，则应按照非上市公司的标准进行填报。例如，全资子公司的上市身份需要独立判断，不能仅因其母公司的上市地位而默认为上市公司。

 综上所述，母公司的子公司是否作为上市公司填报，应依据子公司的独立上市情况。如果子公司未独立上市，则不应作为上市公司填报。"
17,采购经理,采购经理调查中企业转移生产地区本地调查的生产量算增加吗?,"根据采购经理调查的相关规定和流程，企业转移生产地区后，本地调查的生产量是否算作增加，需要结合以下几点进行判断：
1. 生产量的定义，生产量是指企业在报告期内生产的符合产品质量要求的主要产品的实物数量。调查中，生产量的判断是基于实际生产情况，而不是企业转移生产地区的行为。
2. 生产量的变化判断，生产量的变化是基于企业报告期内的实际生产情况。
3. 转移生产地区的影响，企业转移生产地区本身并不会直接导致本地调查的生产量增加。如果企业在本地的生产活动减少，例如将部分生产线转移到其他地区，本地的生产量可能会被记录为减少。相反，如果企业在本地的生产量增加，例如通过新建或扩建生产线，生产量会被记录为增加。
 企业转移生产地区本身不会直接导致本地调查的生产量增加。生产量的增加与否取决于企业在本地的实际生产情况。如果企业在本地的生产量确实增加，才会被记录为增加；如果减少，则会被记录为减少。"
18,采购经理,采购经理调查中生产量、订单量波动多少以内算变化不大?,"根据采购经理调查的相关规定，生产量、订单量等指标的变化幅度在 ±5% 以内通常被视为“基本持平”或“变化不大”。这一标准适用于制造业和非制造业的采购经理调查，用于判断企业生产经营活动的主要指标变化情况。
具体来说：
1. 生产量：企业报告期内生产的符合产品质量要求的主要产品的实物数量，如果其变化幅度在±5%以内，则被视为“基本持平”。
2. 订单量：企业报告期内接到的订货数量，包括出口订货量和国内订货量，如果其变化幅度在±5%以内，也视为“基本持平”。
需要注意的是，这些界定范围是基于填报人的经验和企业实际情况进行判断的，如果企业认为某些指标的变化幅度较小，也可以按照“基本持平”填报。"
19,采购经理,采购经理调查中外贸企业转内销还算外贸企业吗?,"在采购经理调查中，外贸企业转内销是否仍被视为外贸企业，需要结合企业的业务性质和统计标准来判断。以下是分析和结论：
1. 外贸企业的定义，根据相关统计标准，外贸企业是指直接从事进出口业务的企业，包括自营出口和委托外贸企业代理出口的商品金额。外贸企业只统计自主经营出口的商品，不包括受托代理出口的商品。
2. 转内销的业务性质，转内销是指外贸企业将原本用于出口的商品转为在国内市场销售。这种情况下，企业的销售对象从国外转为国内，但企业的业务性质仍然可能包括进出口业务，只要企业仍保留部分出口业务，仍可能被视为外贸企业。
3. 统计标准中的判断依据，根据采购经理调查的统计标准，是否有出口业务是指经过洽谈并收到国外客户正式订单，并按订单安排生产计划。即使企业转内销，只要企业仍保留部分出口业务，仍然可能被视为外贸企业。
4. 转内销对统计的影响，转内销可能会影响企业的统计分类，但并不意味着企业完全转变为内销企业。只要企业仍保留出口业务，仍可能被视为外贸企业。若外贸企业转为纯内销的零售业，需修改为“零售业”代码。
建议企业及时更新业务信息，确保统计分类与实际经营活动一致，避免因分类错误导致政策适用偏差或数据失真。"
20,采购经理,采购经理调查中主要产品价格变动指标如何界定?,"选项的界限包含“基本持平”、“变化不大”或“差别不大”选项的界限主要由企业采购经理根据自己平时的经验进行判断。一般情况下，价格变化幅度在±2%以内可以视为“变化不大”，而其他指标变化幅度在±5%以内可以视为“基本持平”或“差别不大”。故此，主要产品价格变动幅度在±2%以内可以界定为“变化不大”。

"
21,采购经理,采购经理调查主要内容及抽样方法,"为了编制中国采购经理指数，加强对国民经济活动的监测与预警能力，为国家宏观调控和企业生产经营提供参考依据和咨询建议，依照《中华人民共和国统计法》的规定，结合国际通行规则，国家统计局制定采购经理调查制度，对采购经理调查的范围、对象、内容、时间与方式、对外发布等作出统一规定，组织国家统计局各级调查队开展基础数据搜集工作，并由国家统计局服务业调查中心编制和公布月度中国采购经理指数。
一、采购经理调查主要内容
（一）调查范围
制造业和非制造业法人单位以及视同法人的产业活动单位。
（二）调查对象
制造业企业的采购（或供应）经理，即企业主管采购业务活动的副总经理或负责企业原材料采购（包括能源、中间产品、半成品和零部件）的部门经理。非制造业企业主管运营的负责人或采购（或供应）经理。
（三）调查内容
制造业企业的采购（或供应）经理对企业经营、采购及其相关业务活动情况的判断，主要包括对企业生产、订货、采购、价格、库存、人员、供应商配送、采购方式、市场预期等情况的判断，以及企业生产经营和采购过程中遇到的主要问题及建议。
非制造业企业主管运营的负责人或采购（或供应）经理对企业经营、采购及相关业务活动情况的判断，主要包括对业务总量、新订单（客户需求）、存货、价格、从业人员、供应商配送、市场预期等情况的判断，以及企业经营和采购过程中遇到的主要问题及建议。
二、抽样方法
（一）抽样总体
采购经理调查抽样框使用全国经济普查资料，以全国制造业或非制造业法人企业（或依照法人单位进行统计的产业活动单位）为总体。
（二）抽样方法
采购经理调查采用PPS抽样，以制造业或非制造业行业大类（部分行业大类进行了合并）为层，层内使用与企业主营业务收入成比例的概率估计抽样。
"
22,采购经理,采购经理年报中期末人数是12月31日这个节点的数不包含退休后仍然发放资的那退休返聘仍然在作岗位的算吗?,"从业人员期末人数 指报告期末最后一日24时在本单位中工作，并取得工资或其他形式劳动报酬的人员数。该指标为时点指标，不包括最后一日当天及以前已经与单位解除劳动合同关系的人员，是在岗职工、劳务派遣人员及其他从业人员之和。从业人员不包括，离开本单位仍保留劳动关系，并定期领取生活费的人员；利用课余时间打工的学生及在本单位实习的各类在校学生；本单位因劳务外包而使用的人员，如：建筑业整建制使用的人员。
退休返聘人员的认定，若退休人员返聘后仍在岗工作，并正常领取工资或报酬，则应计入期末人数。若退休人员虽返聘但未在12月31日当天实际在岗（如提前离职或未到岗），则不应计入。
关键的区分点。劳动关系状态，退休人员与原单位的劳动关系已解除，但返聘属于新的用工关系。只要返聘合同在年报期末有效，且实际履行工作职责，即应统计。报酬发放，需确认是否在12月31日当月实际发放了工资或报酬。若仅签订返聘协议但未实际工作或未支付报酬，则不纳入统计。
退休返聘人员若在12月31日当天实际在岗并取得报酬，应计入采购经理年报中的期末人数；若未实际在岗或未支付报酬，则不计入。这一规则与统计制度中对“从业人员”的定义一致，需结合具体用工情况判断。"
23,采购经理,采购经理月报中调查问卷里的平均出厂价格如何确定?,"在采购经理月报的调查问卷中，平均出厂价格的确定通常遵循以下方法和步骤，以确保数据的准确性
1. 定义与范围，出产价格是指企业报告期内生产的符合产品质量要求的主要产品出厂价格的加权平均水平。主要产品的确认，根据企业产品产量比重或主要经营活动进行确认，通常是指产量比重较大或企业通常认可的一种或若干种主要产品。
计算方式，需采用加权平均法。权重依据：可按企业的产量或销售额分配权重。
3. 应用示例
假设某行业调查5家企业，其出厂价格及权重如下：
| 企业   | 出厂价格（元/吨） | 产量权重（%） |
|--------|-------------------|---------------|
| A      | 5,000             | 30%           |
| B      | 5,200             | 25%           |
| C      | 4,800             | 20%           |
| D      | 5,100             | 15%           |
| E      | 4,900             | 10%           |
加权平均出厂价格 
= (5,000×0.3 + 5,200×0.25 + 4,800×0.2 + 5,100×0.15 + 4,900×0.1) / 1 
= 5,015元/吨"
24,采购经理,采购经理月报中有很多价格浮动的问题是填写体几种产品的价格变动还是整体的?,"在采购经理月报中，价格浮动问题的填写通常需要综合考虑企业整体的平均价格水平，而不是单独几种产品的价格变动。以下是具体分析和依据：
1. 整体价格水平的填报要求，采购经理月报中，价格相关的指标（如购进价格、出厂价格、投入价格、收费价格等）通常是基于企业报告期内经营活动或提供服务过程中购买、生产或销售的主要商品、材料或服务的加权平均价格水平。这意味着需要综合考虑多种商品或服务的价格变动，而不是仅针对几种特定产品。
2. 主要产品或服务的确认，在填报时，需要明确企业的主要商品或服务。这些通常是企业生产经营活动中消耗量较大或经常使用的主要原材料，或者是产量比重较大的主要产品。因此，价格浮动的填报应围绕这些主要商品或服务的整体价格水平进行。
 采购经理月报中的价格浮动问题主要是基于企业整体的平均价格水平填报，而不是单独几种产品的价格变动。企业需要综合考虑主要商品或服务的价格变动，并结合实际情况进行填报。"
25,采购经理,在采购经理调查中，出厂价格指标升降的界定范围是什么?,"在采购经理调查中，价格波动的界定范围是根据填报人的经验和企业具体情况来判断的。一般情况下，价格变化幅度在 ±2%以内 可以视为“变化不大”。价格变化幅度超过 2%可视为上升，价格变化幅度小鱼-2%的可视为下降
"
26,采购经理,公司从业人员数量的口径包括劳务派遣人员吗,"鉴于劳务派遣用工已作为实际用工单位从业人数的一部分进行统计，为确保统计数据的准确性和不重复性，根据《劳动工资统计报表制度》规定，劳务派遣人员由实际用工单位统计，是本单位从业人员中的劳务派遣人员。劳动务派遣单位（派出单位）不对派出工作人员进行统计。
劳务派遣单位不得重复计算。这一规则既符合国家统计局的制度要求，也避免了数据重复，确保了统计结果的真实性和有效性。如需进一步了解具体操作细节，可参考《劳动工资统计报表制度》或咨询国家统计局人口和就业统计司。
"
27,采购经理,公司刚被收购新公司采购经理调查报表还需要上报吗?,"公司被收购后是否需继续上报，取决于其是否仍符合样本单位的行业、规模及法人资格要求。建议企业主动联系属地统计部门（如地方调查队），提交变更证明材料（如营业执照、收购协议），确认样本状态及填报责任主体。若样本资格保留，则需严格按原制度要求履行上报义务；若需调整样本，应配合完成替换流程以避免数据断档。具体分析如下。

1.样本单位资格的延续性，根据《采购经理调查统计报表制度》，样本单位的选取基于国民经济行业分类（GB/T 4754-2017）和企业规模划分标准（如营业收入、从业人员等）。若收购后企业仍保持原有行业属性（如制造业或非制造业）且规模未发生重大变化，则需继续履行上报义务。例如，若收购仅涉及股权变更而未改变主营业务或规模，企业仍属于原样本范围。
2.法人资格与统计身份的认定，调查对象为法人单位或视同法人的产业活动单位。若被收购企业仍作为独立法人存续（如子公司形式），则需继续填报；若被注销法人资格并入母公司（如分公司形式），则需由母公司根据其行业属性决定是否纳入新样本。若企业因收购导致统计身份变更（如合并、分立），需向统计部门提交《一套表调查单位变更申报表》及相关证明材料。
3.样本轮换与调整规则，样本每年进行一次轮换，国家级样本轮换率控制在10%以内。若收购导致企业行业代码前两位（大类行业）或规模分类发生变动，或被认定为消亡样本企业，包括破产、倒闭、停产、歇业、转业、兼并重组等，需剔除样本。并按“同行业同规模”原则替换样本。"
28,采购经理,关于采购经理调查月报中各指标的对比期界定问题,"对比期的确定为，对于流量问题（时期指标，如生产量、采购量等），对比期为上个月；对于存量问题（时点指标，如库存量、人员等），对比期为一个月前。
   采购经理的报告期是自然月，由于问卷上报期是22-25日，一个自然月还未结束，填报人需要根据工作经验、生产进度或工作安排对当月剩余时间的生产量（或业务总量）等指标进行估算，综合判断后得到当前整个自然月的生产量（或业务总量）等指标的变化情况。
 通过以上界定和要求，确保采购经理调查月报数据的准确性和可靠性，为宏观经济分析和企业经营决策提供有力支持。"
29,采购经理,在采购经理调查中，期末人数是不是指缴纳社保的人数?,"期末人数是指报告期末最后一日在本单位工作并取得工资或其他形式劳动报酬的人员数，属于时点指标。包括：在岗职工；劳务派遣人员；12月31日前已在本单位工作，次年再发放工资。期末人数不包括：离开本单位仍保留劳动关系，并定期领取生活费的人员；在本单位实习的各类在校学生 ；本单位因劳务外包而使用的人员（工资由劳务公司结算）
缴纳社保的人数是指依法参加社会保险并建立缴费记录的人数，统计范围由社保政策规定。退休人员，若已退休且未再就业，可能不再计入期末人数，但仍属于养老保险参保人数。
期末人数不是指缴纳社保的人数期末人数用于企业规模划分（如大中小微型企业），而社保缴纳人数反映社保覆盖广度，两者在政策制定和监管中各有侧重。两者在统计范围、政策依据上存在显著差异，需结合具体场景区分使用。
"
30,采购经理,其他股份有限公司和私营股份有限公司有什么区别?,"股份有限公司包括登记注册为“内资公司股份有限公司（上市）”、“内资公司股份有限公司（非上市）和“内资分公司股份有限公司分公司（上市）”等类型的市场主体。根据相关属性，将股份有限公司进一步划分为私营股份有限公司和其他股份有限公司。
 私营股份有限公司是指按《公司法》的规定，由五个以上自然人投资，或由单个自然人控股的股份有限公司，明确表明自然人投资或控股的属性。其他股份有限公司指除私营股份有限公司之外的股份有限公司，涵盖的范围更广，可能包括国有控股的大型企业，涉及的行业更为多样化。
私营股份有限公司以自然人投资或控股为特征，属于民营经济；而其他股份有限公司则是一个更广泛的分类，经济性质和活动范围更为多样。两者的核心差异在于控股主体的性质及统计分类归属。"
31,采购经理,在采购经理调查中，去年我们公司收入200万我只填了100万会有什么后果吗,"《统计法》第三十二条规定，统计机构、统计人员应当依法履行职责，如实搜集、报送统计资料， 不得伪造、篡改统计资料，不得以任何方式要求任何单位和个人提供不真实的统计资料，不得有其他违 反本法规定的行为。
根据《统计严重失信企业信用管理办法》第六条规定，企业提供不真实或者不完整的统计资料的，且属于《中华人民共和国统计法实施条例》第五十条所列情节严重的，统计机构应当认定其为统计严重失信企业。
《统计严重失信企业信用管理办法》第十条规定，统计机构应当自作出统计严重失信企业认定决定 之日起10个工作日内向社会公示统计严重失信信息，包括： （一）企业基本信息，包括企业名称、地址、统一社会信用代码、法定代表人或者负责人等； （二）统计违法行为； （三）依法处理情况； （四）其他相关信息。
统计数据的真实性是企业履行法定义务的重要体现，也是维护企业信用和正常运营的关键。如果您的企业确实存在统计资料填写错误的情况，收入200万只填了100万，其中差错额占数额 50%，会对地区本单位造成统计数据影响，该项行为已构成统计违法。根据情节严重程度，给予警告，且企业可能面临罚款。若被认定为“统计一般失信企业”或“统计严重失信企业”，企业信息将被纳入国家企业信用信息公示系统。建议尽快与当地统计部门沟通，积极配合整改，以减少可能的负面影响。"
32,采购经理,如果本月的pmi指数是50，代表什么意思,"PMI是一个综合的指数体系，涵盖了经济活动的多个方面，如新订单、新出口订单、进口、生产、供应商配送、库存、从业人员、价格等，其综合指数反映了经济总体情况和总的变化趋势。
采购经理指数（简称PMI），分为制造业PMI和非制造业PMI，PMI以50为扩张与收缩的临界点，当PMI大于50时，说明经济在扩张，当PMI小于50时，说明经济在收缩。PMI指数是经济监测的先行指标。
当PMI为50%时，表明经济处于一个中性状态，既不增长也不衰退。这种情况下，经济活动保持稳定，没有显著的变化趋势。然而，由于PMI是一个环比指标，仅反映当月与上月的对比，单月的50%可能并不能全面反映经济的长期趋势。
单月的PMI数据可能受到短期扰动，需结合历史数据和趋势进行综合判断。"
